window,snr,accuracy,precision,recall,f1
rectangular,20,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471
hamming,20,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471
hann,20,0.6666666666666666,0.7142857142857143,0.5555555555555556,0.625
blackman,20,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
