window,accuracy,precision,recall,f1
rectangular,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
hamming,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
hann,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
blackman,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
